lote_id,fecha,mes,sku,producto,categoria,unidades_planeadas,unidades_producidas,merma_pct,cumplimiento_plan_pct,turno,linea,es_sin_gluten,gluten_ppm,estado_calidad,costo_lote_cop,vida_util_dias
L-7148,2025-08-26,2025-08,COM-ROMP,Rompecabezas,Combos,1870,1850,1.05,98.9,Mañana,Línea 3 · Cremas,False,,Aprobado,83250000,322
L-7149,2025-08-26,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,799,790,1.04,98.9,Tarde,Línea 1 · Hornos,True,3.9,Aprobado,9796000,324
L-7150,2025-08-26,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,992,960,3.13,96.8,Tarde,Línea 3 · Cremas,True,8.9,Aprobado,15552000,256
L-7151,2025-08-27,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,2209,2157,2.31,97.6,Mañana,Línea 3 · Cremas,True,8.9,Aprobado,26746800,231
L-7152,2025-08-27,2025-08,ESP-BABY,Baby Spreads,Esparcibles,1098,1095,0.2,99.7,Mañana,Línea 1 · Hornos,True,3.6,Aprobado,8322000,305
L-7153,2025-08-27,2025-08,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1116,1104,1.05,98.9,Tarde,Línea 3 · Cremas,True,0.5,Aprobado,13027200,180
L-7154,2025-08-27,2025-08,GRA-PIS,Pistachio Cookie,GranOLAS,768,766,0.2,99.7,Tarde,Línea 1 · Hornos,True,3.7,Aprobado,14247600,239
L-7155,2025-08-28,2025-08,ESP-BABY,Baby Spreads,Esparcibles,1028,1025,0.2,99.7,Mañana,Línea 2 · Molienda,True,4.3,Aprobado,7790000,349
L-7156,2025-08-28,2025-08,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,750,746,0.5,99.5,Tarde,Línea 1 · Hornos,True,11.6,Aprobado,9250400,242
L-7157,2025-08-28,2025-08,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,1794,1714,4.45,95.5,Tarde,Línea 1 · Hornos,True,8.1,Aprobado,34451400,344
L-7158,2025-08-28,2025-08,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,782,768,1.77,98.2,Tarde,Línea 1 · Hornos,True,3.2,Aprobado,12441600,245
L-7159,2025-08-29,2025-08,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,836,824,1.34,98.6,Mañana,Línea 2 · Molienda,True,1.0,Aprobado,10547200,188
L-7160,2025-08-29,2025-08,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,2589,2509,3.08,96.9,Tarde,Línea 2 · Molienda,True,8.8,Aprobado,29606200,353
L-7161,2025-09-01,2025-09,COM-3GRA,Three Pack GranOLA,Combos,1680,1627,3.13,96.8,Tarde,Línea 1 · Hornos,True,5.2,Aprobado,69961000,335
L-7162,2025-09-01,2025-09,ESP-PB,Peanutty Banana Shake,Esparcibles,975,951,2.43,97.5,Tarde,Línea 3 · Cremas,True,11.5,Aprobado,18449400,287
L-7163,2025-09-01,2025-09,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,2585,2579,0.2,99.8,Tarde,Línea 2 · Molienda,True,11.2,Aprobado,42295600,277
L-7164,2025-09-01,2025-09,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,1855,1810,2.38,97.6,Mañana,Línea 3 · Cremas,True,11.9,Aprobado,23168000,266
L-7165,2025-09-01,2025-09,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,2250,2178,3.19,96.8,Mañana,Línea 2 · Molienda,True,5.6,Aprobado,27878400,321
L-7166,2025-09-02,2025-09,HAR-ALM,Harina de Almendra,Avena & Harinas,2440,2435,0.2,99.8,Tarde,Línea 1 · Hornos,True,11.2,Aprobado,37499000,194
L-7167,2025-09-02,2025-09,GRA-VAN,Vanilla Shortbread,GranOLAS,1373,1315,4.17,95.8,Tarde,Línea 2 · Molienda,True,3.9,Aprobado,18541500,247
L-7168,2025-09-02,2025-09,ESP-BABY,Baby Spreads,Esparcibles,570,550,3.46,96.5,Tarde,Línea 3 · Cremas,True,3.8,Aprobado,4180000,347
L-7169,2025-09-02,2025-09,COM-WAF,Mini Wafflera,Combos,1963,1896,3.4,96.6,Tarde,Línea 3 · Cremas,False,,Aprobado,109968000,334
L-7170,2025-09-03,2025-09,GRA-FUD,Fudge Cake,GranOLAS,763,751,1.51,98.4,Mañana,Línea 2 · Molienda,True,6.6,Aprobado,10889500,275
L-7171,2025-09-03,2025-09,ESP-CIN,Golden Cinnamon Roll,Esparcibles,518,495,4.29,95.6,Mañana,Línea 3 · Cremas,True,6.7,Aprobado,9751500,319
L-7172,2025-09-03,2025-09,ESP-BABY,Baby Spreads,Esparcibles,824,796,3.35,96.6,Tarde,Línea 1 · Hornos,True,2.6,Aprobado,6049600,207
L-7173,2025-09-03,2025-09,GRA-CHI,Chip Cookie,GranOLAS,1567,1523,2.75,97.2,Mañana,Línea 1 · Hornos,True,1.3,Aprobado,21855050,227
L-7174,2025-09-04,2025-09,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,2037,1966,3.48,96.5,Tarde,Línea 3 · Cremas,True,3.5,Aprobado,32635600,350
L-7175,2025-09-04,2025-09,ESP-BABY,Baby Spreads,Esparcibles,730,716,1.85,98.1,Mañana,Línea 3 · Cremas,True,3.8,Aprobado,5441600,309
L-7176,2025-09-05,2025-09,COM-3GRA,Three Pack GranOLA,Combos,2227,2148,3.53,96.5,Mañana,Línea 1 · Hornos,True,4.3,Aprobado,92364000,217
L-7177,2025-09-05,2025-09,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,969,937,3.29,96.7,Tarde,Línea 2 · Molienda,True,8.3,Aprobado,15366800,193
L-7178,2025-09-05,2025-09,GRA-CHI,Chip Cookie,GranOLAS,2594,2554,1.53,98.5,Mañana,Línea 3 · Cremas,True,9.8,Aprobado,36649900,274
L-7179,2025-09-05,2025-09,GRA-VAN,Vanilla Shortbread,GranOLAS,1052,1034,1.62,98.3,Mañana,Línea 3 · Cremas,True,2.6,Aprobado,14579400,307
L-7180,2025-09-05,2025-09,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,1104,1090,1.22,98.7,Mañana,Línea 2 · Molienda,True,4.5,Aprobado,29866000,210
L-7181,2025-09-08,2025-09,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,1246,1204,3.32,96.6,Tarde,Línea 3 · Cremas,True,2.0,Aprobado,23959600,360
L-7182,2025-09-08,2025-09,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,560,538,3.85,96.1,Mañana,Línea 3 · Cremas,True,8.8,Aprobado,6886400,282
L-7183,2025-09-08,2025-09,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,616,587,4.64,95.3,Mañana,Línea 3 · Cremas,True,10.2,Aprobado,11681300,295
L-7184,2025-09-09,2025-09,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,1048,994,5.12,94.8,Mañana,Línea 2 · Molienda,True,2.9,Aprobado,12325600,288
L-7185,2025-09-09,2025-09,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,1571,1507,4.04,95.9,Tarde,Línea 1 · Hornos,True,1.4,Aprobado,18837500,363
L-7186,2025-09-09,2025-09,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,1657,1619,2.26,97.7,Tarde,Línea 3 · Cremas,True,1.1,Aprobado,32541900,223
L-7187,2025-09-09,2025-09,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,432,416,3.49,96.3,Mañana,Línea 2 · Molienda,True,6.7,Aprobado,5200000,335
L-7188,2025-09-09,2025-09,COM-3SPR,Three Pack Spread,Combos,438,437,0.2,99.8,Mañana,Línea 3 · Cremas,True,3.1,Aprobado,26001500,187
L-7189,2025-09-10,2025-09,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,846,844,0.2,99.8,Tarde,Línea 1 · Hornos,True,3.0,Aprobado,13841600,205
L-7190,2025-09-10,2025-09,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1645,1614,1.83,98.1,Tarde,Línea 1 · Hornos,True,3.0,Aprobado,19045200,202
L-7191,2025-09-11,2025-09,COM-WAF,Mini Wafflera,Combos,1152,1126,2.18,97.7,Mañana,Línea 1 · Hornos,False,,Aprobado,65308000,301
L-7192,2025-09-11,2025-09,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,2377,2284,3.89,96.1,Tarde,Línea 1 · Hornos,True,1.2,Aprobado,45451600,359
L-7193,2025-09-11,2025-09,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,2019,1917,5.05,94.9,Mañana,Línea 2 · Molienda,True,5.4,Aprobado,22620600,258
L-7194,2025-09-11,2025-09,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,730,709,2.84,97.1,Mañana,Línea 2 · Molienda,True,3.2,Aprobado,9075200,242
L-7195,2025-09-11,2025-09,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,2143,2059,3.9,96.1,Mañana,Línea 1 · Hornos,True,0.5,Aprobado,24296200,253
L-7196,2025-09-12,2025-09,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,929,914,1.54,98.4,Mañana,Línea 3 · Cremas,True,6.5,Aprobado,15172400,245
L-7197,2025-09-12,2025-09,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,1105,1102,0.2,99.7,Tarde,Línea 2 · Molienda,True,11.4,Aprobado,13775000,326
L-7198,2025-09-12,2025-09,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,415,409,1.39,98.6,Mañana,Línea 1 · Hornos,True,5.5,Aprobado,11206600,305
L-7199,2025-09-12,2025-09,GRA-FUD,Fudge Cake,GranOLAS,762,729,4.26,95.7,Mañana,Línea 3 · Cremas,True,11.5,Aprobado,10570500,236
L-7200,2025-09-12,2025-09,ESP-BABY,Baby Spreads,Esparcibles,957,913,4.53,95.4,Tarde,Línea 1 · Hornos,True,7.1,Aprobado,6938800,223
L-7201,2025-09-15,2025-09,COM-MIX,Perfect Mix & Match,Combos,2246,2214,1.42,98.6,Mañana,Línea 1 · Hornos,True,10.0,Aprobado,66641400,195
L-7202,2025-09-15,2025-09,ESP-BABY,Baby Spreads,Esparcibles,1447,1418,1.99,98.0,Mañana,Línea 1 · Hornos,True,9.1,Aprobado,10776800,309
L-7203,2025-09-15,2025-09,COM-3GRA,Three Pack GranOLA,Combos,2154,2118,1.67,98.3,Mañana,Línea 2 · Molienda,True,11.3,Aprobado,91074000,212
L-7204,2025-09-16,2025-09,GRA-FUD,Fudge Cake,GranOLAS,937,923,1.4,98.5,Mañana,Línea 1 · Hornos,True,0.9,Aprobado,13383500,245
L-7205,2025-09-16,2025-09,ESP-BABY,Baby Spreads,Esparcibles,1373,1363,0.7,99.3,Tarde,Línea 2 · Molienda,True,9.1,Aprobado,10358800,276
L-7206,2025-09-16,2025-09,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,2354,2299,2.31,97.7,Tarde,Línea 2 · Molienda,True,0.3,Aprobado,28737500,219
L-7207,2025-09-16,2025-09,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,597,595,0.2,99.7,Mañana,Línea 1 · Hornos,True,6.2,Aprobado,7437500,245
L-7208,2025-09-16,2025-09,ESP-CIN,Golden Cinnamon Roll,Esparcibles,856,835,2.4,97.5,Mañana,Línea 1 · Hornos,True,8.7,Aprobado,16449500,212
L-7209,2025-09-17,2025-09,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,701,677,3.38,96.6,Mañana,Línea 2 · Molienda,True,3.2,Aprobado,13607700,299
L-7210,2025-09-17,2025-09,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,1333,1300,2.41,97.5,Tarde,Línea 1 · Hornos,True,1.0,Aprobado,21580000,351
L-7211,2025-09-17,2025-09,HAR-ALM,Harina de Almendra,Avena & Harinas,2291,2237,2.34,97.6,Mañana,Línea 3 · Cremas,True,3.0,Aprobado,34449800,259
L-7212,2025-09-17,2025-09,COM-DECK,Deck de Cartas,Combos,929,898,3.26,96.7,Mañana,Línea 1 · Hornos,False,,Aprobado,39512000,343
L-7213,2025-09-18,2025-09,ESP-BABY,Baby Spreads,Esparcibles,2592,2476,4.45,95.5,Mañana,Línea 1 · Hornos,True,0.4,Aprobado,18817600,256
L-7214,2025-09-18,2025-09,GRA-VAN,Vanilla Shortbread,GranOLAS,1949,1927,1.09,98.9,Tarde,Línea 3 · Cremas,True,10.5,Aprobado,27170700,285
L-7215,2025-09-19,2025-09,ESP-BABY,Baby Spreads,Esparcibles,1574,1533,2.6,97.4,Mañana,Línea 1 · Hornos,True,0.9,Aprobado,11650800,206
L-7216,2025-09-19,2025-09,HAR-AVE,Harina de Avena,Avena & Harinas,2181,2033,6.77,93.2,Tarde,Línea 1 · Hornos,True,5.0,Aprobado,23582800,346
L-7217,2025-09-22,2025-09,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,2539,2476,2.45,97.5,Mañana,Línea 3 · Cremas,True,3.2,Aprobado,41101600,261
L-7218,2025-09-22,2025-09,COM-WAF,Mini Wafflera,Combos,1802,1754,2.62,97.3,Mañana,Línea 3 · Cremas,False,,Aprobado,101732000,361
L-7219,2025-09-22,2025-09,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,1821,1744,4.22,95.8,Tarde,Línea 3 · Cremas,True,8.7,Aprobado,35054400,194
L-7220,2025-09-22,2025-09,ESP-CRU,Crunchy Cocoa Hazelnut,Esparcibles,417,404,3.05,96.9,Tarde,Línea 1 · Hornos,True,4.0,Aprobado,8120400,203
L-7221,2025-09-22,2025-09,HAR-AVE,Harina de Avena,Avena & Harinas,2056,1947,5.26,94.7,Tarde,Línea 2 · Molienda,True,8.9,Aprobado,22585200,290
L-7222,2025-09-23,2025-09,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,598,574,3.97,96.0,Tarde,Línea 2 · Molienda,True,11.4,Aprobado,7347200,329
L-7223,2025-09-23,2025-09,HAR-ALM,Harina de Almendra,Avena & Harinas,2457,2417,1.59,98.4,Mañana,Línea 1 · Hornos,True,10.6,Aprobado,37221800,277
L-7224,2025-09-23,2025-09,GRA-VAN,Vanilla Shortbread,GranOLAS,1671,1556,6.88,93.1,Mañana,Línea 1 · Hornos,True,1.5,Aprobado,21939600,217
L-7225,2025-09-24,2025-09,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,1031,972,5.67,94.3,Mañana,Línea 3 · Cremas,True,0.7,Aprobado,26632800,246
L-7226,2025-09-24,2025-09,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,2443,2360,3.39,96.6,Mañana,Línea 3 · Cremas,True,8.6,Aprobado,30208000,259
L-7227,2025-09-24,2025-09,COM-3MEZ,Three Pack Mezclas,Combos,1111,1048,5.65,94.3,Mañana,Línea 3 · Cremas,True,6.8,Aprobado,42129600,228
L-7228,2025-09-24,2025-09,ESP-BABY,Baby Spreads,Esparcibles,1877,1787,4.74,95.2,Mañana,Línea 3 · Cremas,True,10.9,Aprobado,13581200,317
L-7229,2025-09-24,2025-09,ESP-PB,Peanutty Banana Shake,Esparcibles,1742,1659,4.72,95.2,Mañana,Línea 1 · Hornos,True,5.0,Aprobado,32184600,362
L-7230,2025-09-25,2025-09,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,886,875,1.22,98.8,Mañana,Línea 3 · Cremas,True,1.3,Aprobado,10850000,240
L-7231,2025-09-25,2025-09,COM-3SPR,Three Pack Spread,Combos,654,631,3.42,96.5,Tarde,Línea 3 · Cremas,True,0.7,Aprobado,37544500,344
L-7232,2025-09-26,2025-09,ESP-BABY,Baby Spreads,Esparcibles,1943,1898,2.31,97.7,Mañana,Línea 2 · Molienda,True,4.5,Aprobado,14424800,263
L-7233,2025-09-26,2025-09,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,534,531,0.55,99.4,Mañana,Línea 1 · Hornos,True,7.9,Aprobado,8602200,307
L-7234,2025-09-26,2025-09,GRA-VAN,Vanilla Shortbread,GranOLAS,1672,1581,5.43,94.6,Tarde,Línea 3 · Cremas,True,3.5,Aprobado,22292100,265
L-7235,2025-09-26,2025-09,HAR-ALM,Harina de Almendra,Avena & Harinas,1015,981,3.29,96.7,Tarde,Línea 1 · Hornos,True,10.1,Aprobado,15107400,320
L-7236,2025-09-26,2025-09,ESP-PB,Peanutty Banana Shake,Esparcibles,1200,1174,2.16,97.8,Tarde,Línea 3 · Cremas,True,10.0,Aprobado,22775600,199
L-7237,2025-09-29,2025-09,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,607,582,3.97,95.9,Mañana,Línea 1 · Hornos,True,3.6,Aprobado,7449600,304
L-7238,2025-09-29,2025-09,ESP-BABY,Baby Spreads,Esparcibles,969,938,3.16,96.8,Tarde,Línea 2 · Molienda,True,8.7,Aprobado,7128800,298
L-7239,2025-09-29,2025-09,ESP-PB,Peanutty Banana Shake,Esparcibles,2031,1983,2.35,97.6,Mañana,Línea 1 · Hornos,True,11.4,Aprobado,38470200,186
L-7240,2025-09-29,2025-09,COM-MIX,Perfect Mix & Match,Combos,1614,1586,1.7,98.3,Tarde,Línea 3 · Cremas,True,5.7,Aprobado,47738600,222
L-7241,2025-09-30,2025-09,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,477,449,5.84,94.1,Tarde,Línea 1 · Hornos,True,7.8,Aprobado,7363600,251
L-7242,2025-09-30,2025-09,HAR-AVE,Harina de Avena,Avena & Harinas,512,510,0.34,99.6,Mañana,Línea 1 · Hornos,True,4.3,Aprobado,5916000,204
L-7243,2025-09-30,2025-09,ESP-CIN,Golden Cinnamon Roll,Esparcibles,1287,1274,1.01,99.0,Mañana,Línea 3 · Cremas,True,0.0,Aprobado,25097800,351
L-7244,2025-10-01,2025-10,GRA-VAN,Vanilla Shortbread,GranOLAS,1193,1183,0.78,99.2,Tarde,Línea 1 · Hornos,True,11.1,Aprobado,16680300,318
L-7245,2025-10-01,2025-10,GRA-PIS,Pistachio Cookie,GranOLAS,1330,1282,3.58,96.4,Mañana,Línea 2 · Molienda,True,8.7,Aprobado,23845200,292
L-7246,2025-10-02,2025-10,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,1866,1830,1.89,98.1,Mañana,Línea 1 · Hornos,True,4.3,Aprobado,22875000,276
L-7247,2025-10-02,2025-10,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,1460,1410,3.39,96.6,Tarde,Línea 1 · Hornos,True,3.1,Aprobado,18048000,255
L-7248,2025-10-02,2025-10,PAN-AVE-BAN,Avena Banano,Pancakes & Waffles,1321,1299,1.59,98.3,Tarde,Línea 1 · Hornos,True,6.5,Aprobado,16237500,283
L-7249,2025-10-02,2025-10,GRA-CHI,Chip Cookie,GranOLAS,1241,1238,0.2,99.8,Tarde,Línea 2 · Molienda,True,0.7,Aprobado,17765300,298
L-7250,2025-10-02,2025-10,GRA-CHI,Chip Cookie,GranOLAS,2321,2316,0.2,99.8,Tarde,Línea 1 · Hornos,True,3.9,Aprobado,33234600,314
L-7251,2025-10-03,2025-10,COM-ROMP,Rompecabezas,Combos,910,872,4.15,95.8,Tarde,Línea 1 · Hornos,False,,Aprobado,39240000,257
L-7252,2025-10-03,2025-10,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,1651,1595,3.35,96.6,Mañana,Línea 1 · Hornos,True,0.1,Aprobado,26158000,303
L-7253,2025-10-03,2025-10,HAR-AVE,Harina de Avena,Avena & Harinas,1460,1442,1.2,98.8,Mañana,Línea 1 · Hornos,True,5.7,Aprobado,16727200,211
L-7254,2025-10-03,2025-10,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,1932,1841,4.67,95.3,Tarde,Línea 1 · Hornos,True,5.7,Aprobado,30560600,254
L-7255,2025-10-06,2025-10,PAN-AVE-BRO,Avena Brownie,Pancakes & Waffles,416,396,4.64,95.2,Mañana,Línea 1 · Hornos,True,0.0,Aprobado,5068800,219
L-7256,2025-10-06,2025-10,COM-WAF,Mini Wafflera,Combos,1068,1044,2.2,97.8,Tarde,Línea 1 · Hornos,False,,Aprobado,60552000,225
L-7257,2025-10-06,2025-10,HAR-AVE,Harina de Avena,Avena & Harinas,2252,2229,0.99,99.0,Mañana,Línea 3 · Cremas,True,3.5,Aprobado,25856400,304
L-7258,2025-10-06,2025-10,COM-3MEZ,Three Pack Mezclas,Combos,2058,2015,2.04,97.9,Tarde,Línea 1 · Hornos,True,6.8,Aprobado,81003000,245
L-7259,2025-10-07,2025-10,HAR-ALM,Harina de Almendra,Avena & Harinas,481,456,5.07,94.8,Mañana,Línea 2 · Molienda,True,1.0,Aprobado,7022400,254
L-7260,2025-10-07,2025-10,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,2196,2134,2.81,97.2,Mañana,Línea 1 · Hornos,True,0.1,Aprobado,25181200,305
L-7261,2025-10-07,2025-10,GRA-CHI,Chip Cookie,GranOLAS,639,622,2.52,97.3,Mañana,Línea 2 · Molienda,True,7.6,Aprobado,8925700,298
L-7262,2025-10-08,2025-10,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,1889,1885,0.2,99.8,Tarde,Línea 1 · Hornos,True,5.6,Aprobado,30537000,350
L-7263,2025-10-08,2025-10,GRA-FUD,Fudge Cake,GranOLAS,1225,1213,0.92,99.0,Tarde,Línea 2 · Molienda,True,6.0,Aprobado,17588500,201
L-7264,2025-10-08,2025-10,PAN-ALM-CHO,Almendra Choco Chips,Pancakes & Waffles,1039,1013,2.49,97.5,Tarde,Línea 2 · Molienda,True,8.6,Aprobado,16815800,357
L-7265,2025-10-09,2025-10,ESP-PB,Peanutty Banana Shake,Esparcibles,621,615,0.88,99.0,Mañana,Línea 2 · Molienda,True,11.3,Aprobado,11931000,295
L-7266,2025-10-09,2025-10,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,992,975,1.64,98.3,Mañana,Línea 2 · Molienda,True,1.9,Aprobado,15795000,271
L-7267,2025-10-09,2025-10,ESP-BABY,Baby Spreads,Esparcibles,2086,2034,2.48,97.5,Tarde,Línea 3 · Cremas,True,2.7,Aprobado,15458400,314
L-7268,2025-10-09,2025-10,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1265,1231,2.62,97.3,Mañana,Línea 2 · Molienda,True,6.4,Aprobado,14525800,316
L-7269,2025-10-09,2025-10,AVE-HOJ,Avena en Hojuelas,Avena & Harinas,1996,1924,3.57,96.4,Mañana,Línea 2 · Molienda,True,9.1,Aprobado,22703200,202
L-7270,2025-10-10,2025-10,GRA-VAN,Vanilla Shortbread,GranOLAS,694,692,0.2,99.7,Tarde,Línea 1 · Hornos,True,7.0,Aprobado,9757200,187
L-7271,2025-10-10,2025-10,COM-ROMP,Rompecabezas,Combos,1348,1318,2.21,97.8,Mañana,Línea 2 · Molienda,False,,Aprobado,59310000,303
L-7272,2025-10-10,2025-10,ESP-BABY,Baby Spreads,Esparcibles,644,623,3.19,96.7,Tarde,Línea 2 · Molienda,True,6.9,Aprobado,4734800,344
L-7273,2025-10-13,2025-10,ESP-BABY,Baby Spreads,Esparcibles,1419,1392,1.89,98.1,Mañana,Línea 1 · Hornos,True,5.9,Aprobado,10579200,195
L-7274,2025-10-13,2025-10,ESP-BABY,Baby Spreads,Esparcibles,2377,2267,4.6,95.4,Tarde,Línea 2 · Molienda,True,4.9,Aprobado,17229200,333
L-7275,2025-10-13,2025-10,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2191,2170,0.94,99.0,Tarde,Línea 2 · Molienda,True,8.7,Aprobado,59458000,180
L-7276,2025-10-14,2025-10,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2096,2007,4.24,95.8,Mañana,Línea 2 · Molienda,True,10.9,Aprobado,54991800,202
L-7277,2025-10-14,2025-10,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,1497,1427,4.64,95.3,Tarde,Línea 2 · Molienda,True,7.2,Aprobado,23402800,256
L-7278,2025-10-14,2025-10,ESP-PB,Peanutty Banana Shake,Esparcibles,2261,2249,0.52,99.5,Tarde,Línea 2 · Molienda,True,4.8,Aprobado,43630600,233
L-7279,2025-10-15,2025-10,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,497,476,4.18,95.8,Mañana,Línea 3 · Cremas,True,1.0,Aprobado,7806400,236
L-7280,2025-10-15,2025-10,GRA-CHI,Chip Cookie,GranOLAS,1513,1456,3.75,96.2,Tarde,Línea 3 · Cremas,True,0.4,Aprobado,20893600,278
L-7281,2025-10-15,2025-10,PAN-ALM-CHU,Almendra Churro,Pancakes & Waffles,2289,2245,1.91,98.1,Mañana,Línea 3 · Cremas,True,8.5,Aprobado,36818000,228
L-7282,2025-10-16,2025-10,ESP-CRE,Creamy Cocoa Hazelnut,Esparcibles,1094,1076,1.59,98.4,Tarde,Línea 3 · Cremas,True,0.5,Aprobado,21412400,332
L-7283,2025-10-16,2025-10,ESP-PIS,Buttery Pistachio Cookie,Esparcibles,2489,2380,4.38,95.6,Mañana,Línea 2 · Molienda,True,8.4,Aprobado,65212000,335
L-7284,2025-10-16,2025-10,GRA-VAN,Vanilla Shortbread,GranOLAS,2379,2315,2.65,97.3,Tarde,Línea 3 · Cremas,True,8.6,Aprobado,32641500,244
L-7285,2025-10-16,2025-10,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,649,641,1.18,98.8,Mañana,Línea 3 · Cremas,True,10.5,Aprobado,7948400,290
L-7286,2025-10-17,2025-10,ESP-CIN,Golden Cinnamon Roll,Esparcibles,1898,1829,3.59,96.4,Mañana,Línea 2 · Molienda,True,6.4,Aprobado,36031300,271
L-7287,2025-10-17,2025-10,GRA-FUD,Fudge Cake,GranOLAS,1239,1178,4.86,95.1,Mañana,Línea 1 · Hornos,True,10.5,Aprobado,17081000,256
L-7288,2025-10-17,2025-10,HAR-AVE,Harina de Avena,Avena & Harinas,1833,1746,4.73,95.3,Tarde,Línea 3 · Cremas,True,4.4,Aprobado,20253600,266
L-7289,2025-10-17,2025-10,GRA-VAN,Vanilla Shortbread,GranOLAS,1370,1353,1.18,98.8,Mañana,Línea 1 · Hornos,True,6.4,Aprobado,19077300,304
L-7290,2025-10-20,2025-10,ESP-PB,Peanutty Banana Shake,Esparcibles,450,447,0.62,99.3,Tarde,Línea 2 · Molienda,True,4.4,Aprobado,8671800,195
L-7291,2025-10-20,2025-10,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,2163,2049,5.27,94.7,Mañana,Línea 1 · Hornos,True,9.9,Aprobado,33193800,329
L-7292,2025-10-20,2025-10,GRA-PIS,Pistachio Cookie,GranOLAS,2395,2324,2.94,97.0,Mañana,Línea 1 · Hornos,True,2.8,Aprobado,43226400,312
L-7293,2025-10-20,2025-10,PAN-ALM-VAN,Almendra Vainilla,Pancakes & Waffles,834,796,4.45,95.4,Mañana,Línea 3 · Cremas,True,2.6,Aprobado,12895200,351
L-7294,2025-10-20,2025-10,HAR-ALM,Harina de Almendra,Avena & Harinas,2586,2561,0.95,99.0,Tarde,Línea 2 · Molienda,True,3.1,Aprobado,39439400,238
L-7295,2025-10-21,2025-10,HAR-AVE,Harina de Avena,Avena & Harinas,1916,1888,1.42,98.5,Mañana,Línea 3 · Cremas,True,4.6,Aprobado,21900800,302
L-7296,2025-10-21,2025-10,COM-WAF,Mini Wafflera,Combos,2549,2528,0.81,99.2,Mañana,Línea 2 · Molienda,False,,Aprobado,146624000,225
L-7297,2025-10-21,2025-10,PAN-AVE-VAN,Avena Vainilla,Pancakes & Waffles,428,416,2.64,97.2,Tarde,Línea 2 · Molienda,True,6.3,Aprobado,5158400,274
